cas;chem;use;sum;mol;state;vap
120-92-3;Cyclopentanone;Intermediate for pharmaceuticals, insecticides and rubber;C5H8O;0;0;0
99-87-6;p-cymene;0;C10H14;134.24;0;0
0;Swanic 6L;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;2,4,5-T amine;0;0;0;0;0
563-68-8;Thallium acetate;0;C2H4O2.Tl;0;0;0
650-51-1;Sodium trichloroacetate;Active ingredient in herbicides.;C2HCl3O2.Na;185.36;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
13494-80-9;Tellurium;0;Te;127.6;0;0
98-55-5;alpha-terpineol;0;C10H18O;0;0;0
1461-25-2;Tetrabutylstannane;0;C16H36Sn;247.21;0;0
597-64-8;Tetraethyl tin;0;C8H20Sn;0;0;0
0;2,3,4,5-tetrahydroaniline;0;0;0;0;0
109-99-9;Tetrahydrofuran;Solvent.;C4H8O;0;0;0
97-99-4;Tetrahydrofurfuryl alcohol;0;C5H10O2;0;0;0
0;Tetrahydromethylcyclopentadiene;0;0;0;0;0
0;Tetrahydronorbornadiene;0;0;0;0;0
0;Tetrachloro-o-benzoquinone;0;0;0;0;0
630-20-6;1,1,1,2-Tetrachloroethane;Used as a solvent and in the manufacture of a number of widely;C2H2Cl4;167.83;Liquid will sink and slowly dissolve.;0
771-29-9;Tetralinhydroxyperoxide;0;C10H12O2;0;0;0
97-74-5;Tetramethylthiuram monosulfide;0;C6H12N2S3;0;0;0
11067-81-5;Tetrapropylenebenzenesulfonate;0;0;0;0;0
654-66-0;TFM;0;0;0;0;0
0;Thion *;0;0;0;0;0
0;Thiram 80 *;0;0;0;0;0
640-15-3;O,O-dimethyl-S-(2-ethylmercaptoethyl) dithiophosphate;Insecticide, acaricide.;C6H15O2PS3;246.36;0;0
7440-32-6;Titanium ion;0;Ti;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
13037-86-0;4-(heptaloxy)phenol;0;0;0;0;0
598-16-13;Tribromoethene;0;0;0;0;0
118-79-6;2,4,6-tribromophenol;0;C6H3Br3O;0;0;0
78-48-8;S,S,S-tributylphosphorotrithioate;0;C12H27OPS3;314.54;0;0
30593;Tributyltin fluoride;0;0;0;0;0
1461-22-9;Tributyltin chloride;0;0;0;0;0
102-71-6;Triethanolamine;"Textile antifume agent and water repellent; corrosion ";C6H15NO3;149.22;Liquid.;0.00975 
1912-26-1;Trietazine;Herbicide;0;0;0;0
112-27-6;Triethyleneglycol;Solvent and plasticizer in vinyl, polyester, and polyurethane;C6H14O4;Colorless, hygroscopic, practically odorless liquid.;Colorless, hygroscopic, practically odorless liquid.;0
1067-14-7;Triethyllead chloride;0;0;0;0;0
2767-54-6;Triethyltin bromide;0;C6H15BrSn;0;0;0
115-86-6;Triphenyl phosphate;"Solvent; Plasticiser.";C18H15O4P;326;0;0
379-52-2;Triphenyltin fluoride;0;C18H15FSn;0;0;0
26644-46-2;Triforin;0;C10H14Cl6N4O2;0;0;0
108-73-6;1,3,5-trihydroxybenzene;0;C6H6O3;0;0;0
18487-39-3;2,3,5-trichloroaniline;0;0;0;0;0
636-30-6;2,4,5-Trichloroaniline;0;C6H4Cl3N;0;0;0
634-93-5;2,4,6-Trichloroaniline;0;C6H4Cl3N;0;0;0
75-87-6;Trichloroacetaldehyde;"Manufacture of DDT; organic synthesis.";C2HCl3O;147.4;Colourless liquid.;35
13608-87-2;2,3,4-trichloroacetophenone;0;0;0;0;0
108-70-3;1,3,5-trichlorobenzene;Not used directly in any quantity. ;C6H3Cl3;182;"White crystals; long needles.";0.15 
0;2,3,4'-trichlorobiphenyl;0;0;0;0;0
71-55-6;1,1,1-Trichloroethane;"Solvent; cleaning solvents.";C2H3Cl3;133;0;0
115-20-8;2,2,2-trichloroethanol;0;C2H3Cl3O;0;0;0
76-03-9;Trichloroacetic acid;Herbicide;C2HCl3O2;163.4;0;0
79-01-6;Trichloroethylene;Solvent used for degreasing metals and as a dry-cleaning agent. ;C2HCl3;131.38;0;0
306-52-5;Trichloroethylphosphate;0;C2H4Cl3O4P;0;0;0
93-72-1;2,4,5-TCPPA;0;C9H7Cl3O3;0;0;0
0;2,4,5-TCPPA butoxyethyl ether;0;0;0;0;0
0;2,4,5-TCPPA isooctyl ester;0;0;0;0;0
0;2,4,5-TCPPA propyleneglycolbutylester;0;0;0;0;0
933-78-8;2,3,5-trichlorophenol;0;0;0;0;0
933-75-5;2,3,6-trichlorophenol;0;C6H3OCl3;197.45;0;0
609-19-8;3,4,5-Trichlorophenol;0;C6H3Cl3O;0;0;0
85-34-7;2,3,6-Trichlorophenyl acetic acid;0;C8H5Cl3O2;0;0;0
10048-95-0;Arsenic acid, disodium salt, heptahydrate;0;0;0;0;0
0;3,4,5-trichloroguaiacol;0;C7H5O2Cl3;227.49;0;0
101-20-2;3,4,4'-trichlorocarbanilide;Bacteriostate.;C13H9Cl3N2O;0;0;0
0;3,4,5-trichlorocatechol;0;C6H3O2Cl3;213.46;0;0
96-18-4;1,2,3-trichloropropane;Solvent.;C3H5Cl3;0;0;0
0;2,4,5-trichlorotoluene;0;0;0;0;0
22781-23-3;Bendiocarb;0;C11H13NO4;0;0;0
78-30-8;Tri-o-cresylphosphate;0;C21H21O4P;0;0;0
1520-78-1;Trimethyllead chloride;0;0;0;0;0
504-63-2;Trimethylene glycol;0;C3H8O2;0;0;0
0;2,3,6-trimethylnaphthalene;0;0;0;0;0
107-39-1;2,4,4-trimethyl-1-pentene;0;C8H16;0;0;0
0;2,4,4-trinitrophenol;0;0;0;0;0
0;2,3,6-trinitrotoluene;0;0;0;0;0
2279-76-7;Tripropyltin chloride;0;C9H21ClSn;0;0;0
126-72-7;tris(2,3-dibromopropyl)phosphate;0;C9H15Br6O4P;0;0;0
1420-06-0;N-tritylmorpholine;0;0;0;0;0
112-42-5;Undecanol;0;C11H24O;0;0;0
7440-61-1;Uranium;0;U;0;0;0
57-13-6;Urea;0;CH4N2O;0;0;0
109-52-4;Valeric acid;0;C5H10O2;0;0;0
2275-23-2;Vamidothion;"Acaricide; insecticide";C8H18NO4PS2;0;0;0
7440-62-2;Vanadinium ion;0;V;0;0;0
52627-73-3;Versatic 10;0;0;0;0;0
50471-44-8;Vinclozolin;Active ingredient in fungicides.;C12H9Cl2NO3;0;0;0
108-05-4;Vinylacetate;Solvent. ;C4H6O2 C4H6O2;86.09;Colorless, mobile liquid (HSDB 2001);85
101-82-6;2-(phenylmethyl)pyridine;0;C12H11N;0;0;0
10026-11-6;Zirconium chloride;0;Cl4Zr;0;0;0
12122-67-7;Zineb;Active ingredient in fungicides.;0;0;0;0
93-68-5;N-Acetoacetyl-2-methyl aniline;0;C11H13NO2;0;0;0
0;3-acetyloxoran-2-on;0;0;0;0;0
123-01-3;Linear alkylbenzene;0;C18H30;0;0;0
93-15-2;4-allyl-1,2-dimethoxybenzene;0;C11H14O2;0;0;0
100-66-3;Anisole;0;C7H8O;0;0;0
84-65-1;Anthraquinone;Intermediate for dyes and organics, bird repellent for seeds.;C14H8O2;208.2;Yellow green crystals.;0
119-53-9;Benzoine;0;C14H12O2;0;0;0
91-64-5;Benzo alpha-pyrone;0;C9H6O2;146.14;Colorless crystals, flakes or powder.;1
495-69-2;Benzoylamino acetic acid;0;C9H9NO3;0;0;0
588-46-5;N-Benzyl acetamide;0;C9H11NO;0;0;0
100-46-9;Benzyl amine;Chemical intermediate for dyes, pharmaceuticals, polymers.;C7H9N;107.15;0;0
482-05-3;2,2'-Biphenyl dicarboxylic acid;0;C14H10O4;0;0;0
141-17-3;Bis(2-(2-butoxy ethoxy)ethyl) adipate;0;C22H42O8;0;0;0
133-14-2;Bis(2,4-dichlorobenzoyl) peroxide;0;C14H6Cl4O4;0;0;0
0;N,N-bis(hydroxyethyl) fatty acid(C:6~18) amide;0;0;0;0;0
5131-66-8;1-Butoxy-2-propanol;0;C7H16O2;0;0;0
591-60-6;Butyl acetoacetate;0;C8H14O3;0;0;0
13562-76-0;sec-butyl acetoacetate;0;0;0;0;0
192337;Butylglycidylether;Component of epoxy resin systems. ;C7H14O2;130.21;Colourless liquid.;3.2 
105-60-2;Epsilon-caprolactam;Production of nylon fibres.;C6H11NO;113.2;Solid.;0.0019 
79-11-8;Chloroacetic acid;0;C2H3ClO2;94.5;0;0
0;4-(chloroacetylamino) benzoic acid ethyl ester;0;0;0;0;0
90-99-3;Chlorodiphenyl methane;0;C13H11Cl;0;0;0
0;alpha-chlorofumaric acid diethyl ether;0;0;0;0;0
107-30-2;Chloromethyl methyl ether;"Manufacturing irritant gases (lacrymators); chloromethylating";C2H5ClO;80.52;colourless liquid;0
104-54-1;Cinnamic alcohol;"Perfumery, particularly for lilac and other floral scents;";C9H10O;White needles or crystals.;White needles or crystals.;0
0;Arsenite;0;0;0;0;0
94-36-0;Dibenzoyl peroxide;0;C14H10O4;0;0;0
98-87-3;(dichloromethyl)benzene;0;C7H6Cl2;0;0;0
0;1,3-dichloro-4-(trichloromethyl)benzene;0;0;0;0;0
101-83-7;Dicyclohexyl amine;0;C12H23N;0;0;0
84-61-7;Dicyclohexyl phthalate;0;C20H26O4;0;0;0
64-67-5;Diethyl sulfate;0;C4H10O4S;0;0;0
3648-21-3;Diheptyl phthalate;0;C22H34O4;0;0;0
26761-40-0;Diisodecyl phthalate;0;C28H46O4;0;0;0
123-28-4;Dilauryl-thio dipropionic ester;0;C30H58O4S;0;0;0
1314-41-6;Lead tetroxide;Storage batteries, glass, pottery and enameling, varnish,;O4Pb3;685.57;Bright red powder.;0
108-01-0;N,N-dimethyl ethanolamine;0;C4H11NO;0;0;0
0;3,7-dimethyl-1-hydroxy-2,6-octadiene;0;0;0;0;0
0;2,3-dimethyl naphthalene;0;0;0;0;0
96-49-1;1,3-dioxolan-2-on;0;C3H4O3;0;0;0
91-01-0;Diphenyl methanol;0;C13H12O;0;0;0
693-36-7;Distearylthio dipropionic ester;0;C42H82O4S;0;0;0
112-84-5;13-docosenamide;0;C22H43NO;0;0;0
0;4-dodecyl aniline;0;0;0;0;0
0;Dodecyl-2-hydrogen-phosphate;0;0;0;0;0
0;2,3-epoxypropyl phenyl ether;0;0;0;0;0
140-88-5;Ethyl acrylate;Solvent.;C5H8O2;0;0;0
104-76-7;2-ethylhexyl alcohol;0;C8H18O;0;0;0
0;Fatty acid (C:14~24) epoxide glycerine ester;0;0;0;0;0
75-12-7;Formamide;0;CH3NO;0;0;0
1303-86-2;Boron oxide;0;B2O3;69.62;0;0
506-52-5;1-Hexacosanol;0;C26H54O;0;0;0
110-44-1;2,4-hexadienic acid;0;C6H8O2;0;0;0
124-09-4;Hexamethylenediamine;0;C6H16N2;0;0;0
100-97-0;Hexamethylenetetramine;"Cosmetic biocide in eye make-up preparations; as an urinary ";C6H12N4;140.22;Solid.;0
65-22-5;3-Hydroxy-5-hydroxymethyl-2-methyl isonicotic aldehyde;0;C8H9NO3.ClH;0;0;0
34375-28-5;2-((hydroxymethyl)amino) ethanol;0;C3H9NO2;0;0;0
0;2-hydroxynaphtho aldehyde;0;0;0;0;0
13463-67-7;Titanium oxide;0;O2Ti;79.9;0;0
142-08-5;2-Hydroxypyridine;0;C5H5NO;0;0;0
626-64-2;4-Hydroxy pyridine;0;C5H5NO;0;0;0
121-91-5;Isophthalic acid;0;C8H6O4;0;0;0
98-82-8;Isopropylbenzene;0;C9H12;120.19;Cumene is a colourless liquid with a strong aromatic odour (EU ;4.6 
536-60-7;Isopropyl benzyl alcohol;0;C10H14O;0;0;0
112-18-5;Lauryl dimethyl amine;0;C14H31N;0;0;0
7428-48-0;Lead stearate;Varnish and lacquer drier, high-pressure lubricants, lubricant in;C18H36O2.xPb;White powder.;White powder.;0
90-04-0;2-methoxyaniline;0;C7H9NO;125.15;0;0.1 
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
10004-44-1;Hymexazol;Active ingredient in fungicides.;C4H5NO2;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
104-94-9;4-methoxyaniline;0;C7H9NO;123.15;0;0
28652-72-4;Methyl biphenyl;0;C13H12;0;0;0
119-68-6;2-(methylamino)benzoic acid;0;C8H9NO2;0;0;0
106-49-0;4-methyl aniline;0;C7H9N;0;0;0
CAS-number :;Methyl ester of chlorinated n-alkane;0;0;0;0;0
80-54-6;2-Methyl-3-(4-tert-butylphenyl)propionaldehyde;0;C14H20O;0;0;0
0;1-methyl-4(1-methyl vinyl)cyclohexane;0;0;0;0;0
0;2-(n-methyl-n-octadecanoyl amino)ethylsulfonic acid sodium salt;0;0;0;0;0
1309-37-1;Iron(III) oxide;0;Fe2O3;159.7;0;0
1314-13-2;Zinc oxide;0;OZn;81.37;0;0
78-84-2;2-Methyl propanal;0;C4H8O;0;0;0
50-70-4;Glucitol;0;C6H14O6 C6H14O6;182.2;0;0
78-81-9;2-Methylpropyl amine;0;C4H11N;0;0;0
109-06-8;2-methylpyridine;0;C6H7N ;0;0;0
0;N-methylpyrole;0;0;0;0;0
626-86-8;Monoethyl adipate;0;C8H14O4;0;0;0
40529-66-6;Monoethyl biphenyl;0;C14H14;0;0;0
93-09-4;2-naphthoic acid;0;C11H8O2;0;0;0
552-16-9;2-Nitrobenzoic acid;0;C7H5NO4;0;0;0
62-23-7;4-Nitrobenzoic acid;0;C7H5NO4;0;0;0
28623-46-3;Nonadecanenitrile;0;C19H37N;0;0;0
64-18-6;Formic acid;0;CH2O2;46.03;Colourless liquid.;35
32360-05-7;Octadecyl methacrylate;0;C22H42O2;0;0;0
1754-58-1;Diamidafos;0;0;0;0;0
0;0;0;0;0;0;0
25311-71-1;Isofenphos;Active ingredient in insecticides.;C15H24NO4PS;0;0;0
54-11-5;Nicotine;Active ingredient in insecticides.;C10H14N2;0;0;0
8002-74-2;Paraffin;Active ingredient in insecticides.;0;0;0;0
112-00-5;Dodecyltrimethylammonium chloride;0;C15H34N.Cl;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
103-11-7;Octyl acrylate;0;C11H20O2;0;0;0
0;Oleic acid n-butylate;0;0;0;0;0
1582-09-8;Trifluralin;Active ingredient in herbicides.;C13H16F3N3O4;335.32;Yellow orange solid.;0.000199 
7757-83-7;Sodium sulfite;0;O3S.2Na H2O3S.2Na (EINECS);126.04;0;0
110-58-7;Pentylamine;0;CH3(CH2)4NH2;87.16;0;35
1331-92-6;alpha-Pentylcinnam aldehyde;0;C14H18O;0;0;0
0;2,2',2''-(perhydro-1,3,5-triazine-1,3,5-triyl) triethanol;0;0;0;0;0
85-01-8;Phenanthrene;0;C14H10;0;0;0
7782-44-7;Oxygen;0;O2;32;0;0
0;Phosphoric acid diphenyl monoorthoxenyl;0;0;0;0;0
85-44-9;Phthalic acid anhydride;Alkyd resins, plasticizers, hardener for resins, polyesters,;C8H4O3;148.12;White crystalline needles.;1
0;0;0;0;0;0;0
620-17-7;3-Ethylphenol;0;C8H10O;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
56073-07-5;Difenacoum;Active ingredient in rodenticides.;C31H24O3;444;Solid, white powder. ;0.000012 
CAS-number :;Polyoxyethylene dodecyl ether;0;0;0;0;0
0;Propiolactone;0;0;0;0;0
0;2,6-pyridinedicarboxylic acid;0;0;0;0;0
10025-73-7;Chromium chloride;0;Cl3Cr;0;0;0
109-97-7;Pyrrole;0;C4H5N;0;0;0
0;0;0;0;0;0;0
0;Salicylic acid;0;0;0;0;0
0;Sodium benzene sulfinate;0;0;0;0;0
0;Sodium hydroxy alkane sulfonate;0;0;0;0;0
0;Sodium hydroxybenzene sulfonate;0;0;0;0;0
0;Sodium-N-lauroyl-sarcosine;0;0;0;0;0
0;Sodium salt of higher alcohol sulfuric acid ester;0;0;0;0;0
CAS-number :;Sodium salt of sulfuric acid ester of;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
96-45-7;Ethylenethiourea;"Electrplating baths; intermediate for antioxidants,";C3H6N2S;102.2;Solid.;0.0000006 
101-21-3;Chlorpropham;Active ingredient in herbicides.;C10H12ClNO2;0;0;0
1517-69-7;1-phenylethanol;0;C8H10O;0;0;0
0;0;0;0;0;0;0
75-04-7;ethylamine;0;C2H7N;0;0;0
94-09-7;Ethyl-4-aminobenzoate;"Medicine; suntan preparations.";C9H11NO2;165.19;White, crystalline, odourless, tasteless powder.;0
106-68-3;3-octanone;0;C8H16O;128.24;Colorless liquid.;2
26225-79-6;Ethofumesate;Active ingredient in herbicides.;C13H18O5S;0;0;0
141-78-6;Ethyl acetate;Solvent. ;C4H8O2;88.1;Colourless liquid. ;76
60-12-8;2-Phenylethanol;0;C8H10O;0;0;0
0;0;0;0;0;0;0
100-41-4;Ethylbenzene;"Intermediate, used in synthesis of styrene; petrol";C8H10;106;0;0
1689-83-4;Ioxynil;Active ingredient in herbicides.;C7H3I2NO;370.91;Colourless/white crystalline solid. ;0.0000047 
105-54-4;ethylbutyrate;0;C6H12O2;0;0;0
60-29-7;Ethyl ether;Solvent.;C4H10O;74.14;0;0
0;0;0;0;0;0;0
111-15-9;Ethylglycolacetate;Solvent.;C6H12O3;0;0;0
13684-63-4;Phenmedipham;Active ingredient in herbicides.;C16H16N2O4;0;0;0.0000001 
7664-38-2;Phosphoric acid;Active ingredient in herbicides.;H3O4P;98;0;0
104-75-6;2-ethylhexylamine;0;C8H19N;0;0;0
105-37-3;Ethylpropionate;0;C5H10O2;0;0;0
0;0;0;0;0;0;0
84-11-7;phenanthrenequinone;0;C14H8O2;0;0;0
0;0;0;0;0;0;0
304-81-4;Phenazin-5-oxide;0;0;0;0;0
0;0;0;0;0;0;0
7664-39-3;Hydrofluoric acid;"Metal trades; glass; polish; chemical industry. ";HF;20.01;Colourless.;358
0;Styryl xylene;0;0;0;0;0
CAS-number :;2,3-epoxypropyl alkanoate;0;0;0;0;0
0;m-tollyl methyl carbamate;0;0;0;0;0
104-15-4;4-Toluene sulfonic acid;0;C7H8O3S;172.2;0;0
0;4-toluene sulfochloride;0;0;0;0;0
0;0;0;0;0;0;0
0;Tributyl 2-acetoxy-1,2,3-propane tricarboxylate;0;0;0;0;0
0;Tributyl-1,2,4-benzene tricarboxylate;0;0;0;0;0
0;2,3,4-tricresyl phosphate;0;0;0;0;0
0;2,4,6-trihydroxy 1,3-diazine;0;0;0;0;0
0;N,N,N-trimethyl-2-hydroxyethylammonium chloride;0;0;0;0;0
0;Trioctadecyl phosphite;0;0;0;0;0
0;6-undecanone;0;0;0;0;0
1330-20-7;Xylene;Solvent in resins, lacquers, enamels and rubber cements, in;0;106.17;0;0
0;Branched alkylbenzene;0;0;0;0;0
88-53-9;2-Amino-5-chloro-4-methylbenzene sulfonic acid;0;C7H8ClNO3S;0;0;0
120-71-8;1-amino-2-methoxy-5-methylbenzene;0;C8H11NO;0;0;0
79-94-7;2,2-bis(4-hydroxy-3,5-dibromophenyl) propane;0;C15H12Br4O2;0;0;0
80-05-7;2,2-bis (4-hydroxyphenyl) propane;0;C15H16O2;228.28;0;0.0000001 
86-74-8;Carbazole;0;C12H9N;167.21;0;400
95-51-2;2-chloroaniline;Intermediate.;C6H6ClN;127.57;0;0.17 
118-91-2;2-chlorobenzoic acid;0;C7H5ClO2;156.57;0;0
542-18-7;Chlorocyclohexane;0;C6H11Cl;0;0;0
63449-39-8;Chlorinated paraffines;0;0;320;0;0.00002 
89-63-4;4-Chloro-2-nitroaniline;0;C6H5ClN2O2;0;0;0
21645-51-2;Aluminum hydroxide;0;AlH3O3;78.01;0;0
100-00-5;4-chloronitrobenzene;0;C6H4ClNO2;157.56;0;0.0104 
13654-09-6;Decabromodiphenyl;0;0;0;0;0
95-80-7;2,4-diaminotoluene;0;C7H10N2;Colorless crystals. ;Colorless crystals. ;0.0000552 
1344-28-1;Aluminum oxide;0;Al2O3;101.96;0;0
7757-82-6;Sodium sulfate;0;O4S.2Na H2O4S.2Na (EINECS);142.04;0;0
91-66-7;N,N-diethylaniline;0;C10H15N;0;0;0
101-70-2;4,4-dimethoxy diphenylamine;0;C14H15NO2;0;0;0
541-85-5;5-Methyl-3-heptanone;0;C8H16O;128.24;0;0
7727-37-9;Nitrogen;0;N2;28.02;0;0
122-39-4;Diphenylamine;0;C12H11N;0;0;0
102-06-7;N,N-diphenyl guanidine;0;C13H13N3;0;0;0
156-43-4;4-Ethoxyaniline;0;C8H11NO;0;0;0
103-69-5;N-ethylaniline;0;C8H11N;0;0;0
909554;2,2,4,4,6,8,8-Heptamethylnonane;0;C16H34;0;0;0
87-82-1;Hexabromobenzene;0;C6Br6;0;0;0
149-30-4;2-Mercapto benzothiazole;0;C7H5NS2;0;0;0
21908-53-2;Mercuric oxide;0;HgO;0;0;0
100-61-8;N-Methylaniline;Intermediate.;C7H9N;107;0;0
2025884;Sulfur dioxide;0;O2S;64.06;0;0
81-16-3;2-Naphthylamine sulfonic acid;0;C10H9NO3S;0;0;0
99-09-2;3-nitroaniline;0;C6H6N2O2;0;0;0
91-23-6;2-nitroanisole;0;C7H7NO3;0;0;0
122-88-3;4-chlorophenoxyacetic acid;Phytocide;C8H7ClO3;186;0;0
39515-41-8;Fenpropanate;0;C22H23NO3;0;0;0
62441-54-7;Fentrifanil;0;C14H6ClF6N3O4;0;0;0
1689-82-3;4-phenylazophenol;0;0;0;0;0
319-85-7;beta-Hexachlorocyclohexane;insecticide;C6H6Cl6;291;0;0
0;beta-phenylethylamine sulfate;0;0;0;0;0
92-43-2;1-phenyl-3-pyrazolidone;0;0;0;0;0
25154-52-3;Nonylphenol;Non-ionic surfactant (nonbiodegradable), lube oil additives,;C15H24O;220.39;0;0
0;2-(N-phenylamino) naphthalene;0;0;0;0;0
1336-36-3;Polychlorinated biphenyls;In heat transfer, hydraulic fluids, lubricants and insecticides.;0;A series of technical mixtures consisting of many isomers and;A series of technical mixtures consisting of many isomers and;0
12642-23-8;Polychlorinated triphenyls;Aroclor 5442 is used in heat transfer, hydraulic fluids,;C18H9Cl5 * Aroclor 5442;400;0;0
0;Polychloronaphthalene;0;0;0;0;0
28907-84-8;Sodium naphthionate;0;C10H9NO3S.Na;0;0;0
0;Sodium 1-naphthol-4-sulfonate;0;0;0;0;0
0;2,2',3,3'-tetrachloro-4,4'-diaminodiphenylmethane;0;0;0;0;0
0;2-toluenesulfonamide;0;0;0;0;0
117-81-7;Diethylhexylphthalate;Plasticizer for many resins and elastomers.;C24H38O4 ;391;Light-coloured liquid.;1.32 
95-63-6;1,2,4-trimethylbenzene;0;C9H12;0;0;0
0;1,5,5-trimethyl-2-cyclohexen-3-one;0;0;0;0;0
CAS-number :;Tris (polyoxypropylene) glyceryl ether;0;0;0;0;0
62-44-2;N-Acetyl-4-ethoxyaniline;0;C10H13NO2;0;0;0
6459-94-5;Acid Red 114;0;C37H30N4O10S3.2Na;0;0;0
1934-21-0;Acid yellow 23;0;0;0;0;0
0;(Alkyl (C10~14) benzyl) trimethyl ammonium chloride;0;0;0;0;0
0;3-aminobenzenesulfonic acid;0;0;0;0;0
0;4-amino-3-(4'-(2,4-diaminophenylazo)-3,3'-dimethyl-4-;0;0;0;0;0
111-41-1;2-(2-aminoethylamino)ethanol;0;C4H12N2O;0;0;0
87-02-5;7-Amino-4-hydroxy-2-naphthalene sulfonic acid;0;C10H9NO4S;0;0;0
0;4-amino-5-hydroxy-3-(4'-(4-hydroxyphenylazo)-3,3'-dimethyl-;0;0;0;0;0
88-44-8;2-amino-5-methylbenzenesulfonic acid;0;C7H9NO3S;0;0;0
591-27-5;3-Aminophenol;Dye intermediate.;C6H7NO;109.12;0;0
462-08-8;3-Aminopyridine;0;C5H6N2 ;94.13;0;0
0;Arylchloride;0;0;0;0;0
0;Dichlorfop methyl;Herbicide;0;0;0;0
16984-48-8;1-chloro-1-nitropropane;0;C2H5CH(NO2)Cl;123.5;0;5.8 
33693-04-8;GS 14259;Herbicide;C10H19N5O;0;0;0
38727-55-8;Hercules 22234;0;C16H22ClNO3;0;0;0
61213-25-0;R-40244;Herbicide;C12H10Cl2F3NO;0;0;0
79-27-6;Acetylenetetrabromide;0;CHBr2-CHBr2 C2H2Br4;345.7;Colourless to yellow liquid.;0.1 
142-26-7;N-acetylethanolamine;0;CH3CONHC2H4OH C4H9NO2;103.12;0;0
543-24-8;N-acetylglycine;Medicine;CH3CONHCH2COOH C4H7NO3 (EINECS form);117.1;0;0
1696-20-4;4-acetylmorpholine;0;0;129.16;0;0.02 
98-10-2;Benzenesulfoneamide;0;C6H7NO2S;0;0;0
0;7,12-benzo(a)anthraquinone;0;0;0;0;0
98-08-8;Benzotrifluoride;"Intermediate for dyes, and pharmaceuticals; solvent and";C7H5F3;Water-white liquid.;Water-white liquid.;0
101-53-1;4-benzylphenol;0;C13H12O;0;0;0
56-93-9;Benzyl trimethyl ammonium chloride;0;C10H16N.Cl;0;0;0
90-41-5;2-biphenyl amine;0;C12H11N;0;0;0
111-40-0;Bis(aminoethyl) amine;0;C4H13N3;0;0;0
1477-55-0;1,3-bis (aminomethyl) benzene;0;0;0;0;0
112-24-3;N,N'-bis(2-aminoethyl)ethylene diamine;0;C6H18N4;0;0;0
120-52-5;1,4-bis(benzoyloxyimino)-2,5-cyclohexadiene;0;C20H14N2O4;0;0;0
4162-45-2;2,2-bis(3,5-dibromo-4-(2-hydroxy ethoxy) phenyl)propane;0;C19H20Br4O4;0;0;0
0;Bis(3,5-di-tert-butyl-4-hydroxy phenyl) methane;0;0;0;0;0
90-94-8;4,4'-bis(dimethylamino)benzophenone;0;C17H20N2O;0;0;0
0;Bis(N-(4(4-(dimethylamino)-phenylbenzylidene)-2,5-;0;0;0;0;0
80-43-3;Bis(alpha,alpha-dimethylbenzyl)peroxide;0;C18H22O2;0;0;0
71384;N,N-bis(2,3-epoxypropyl)aniline;0;C12H15NO2;0;0;0
0;Bis(N-(4(4-(dimethylamino)-phenylbenzylidene)-2,5-;0;0;0;0;0
0;N,N-bis(2,3-epoxypropyl)-o-toluidine;0;0;0;0;0
122-97-4;3-phenyl-1-propanol;0;C9H12O;0;0;0
CAS-number :;N,N-bis(5-hydroxy-7-sulfonaphthalene-2-yl)urea;0;0;0;0;0
0;2,4,6-(N,N-bis (methoxymethyl) amino)-1,3,5-triazine;0;0;0;0;0
0;Bis(1-methyl-2-chloroethyl) ether;0;0;0;0;0
26603-23-6;N,N-bis (octylphenyl) amine;0;C28H43N;0;0;0
0;Bis(piperydino(thiocarbonyl)) tetrasulfide phenothiazine;0;0;0;0;0
108-86-1;Bromobenzene;"Solvent (fats, waxes, or resins); intermediates in specialty";C6H5Br;157.02;0;3.3 
74-97-5;Bromochloromethane;0;CH2BrCl;0;0;0
1940-42-7;4-bromo-2,5-dichloro phenol;0;0;0;0;0
95-56-7;2-bromophenol;0;C6H5BrO;173.02;0;0
106-41-2;4-bromophenol;0;C6H5BrO;173.02;0;0
0;4-(alpha-bromopropionylamino)-antipyrine;0;0;0;0;0
103-64-0;beta-bromostyrene;0;C8H7Br;0;0;0
96-29-7;2-butanone oxime;0;CH3C(NOH)C2H5 C4H9NO;87.12;0;0
585-07-9;tert-Butyl methacrylate;0;C8H14O2;0;0;0
0;p-sec-butyl phenyl-2,3-epoxypropyl-ether;0;0;0;0;0
1306-19-0;Cadmium(II)oxide;0;0;0;0;0
0;Calcium bis(trichloroacetate);0;0;0;0;0
131-09-9;2-Chloroanthraquinone;0;C14H7ClO2;0;0;0
0;2-chloro-4,6-bis(ethylamino)-5-triazine;0;0;0;0;0
